Component,Version,URL
python3-rpm-generators,9-1.ky10/noarch,https://example.com/python3-rpm-generators
sudo,1.9.2,https://www.sudo.ws/
sudo,1.9.8,https://www.sudo.ws/
krb5-libs,1.18.2,https://web.mit.edu/kerberos/
krb5-libs,1.19.2,https://web.mit.edu/kerberos/
ceph-mgr-modules-core,16.2.10,https://github.com/ceph/ceph/releases/tag/v16.2.10
markdown-it-py,3.0.0,https://pypi.org/project/markdown-it-py/3.0.0/
libgomp,10.3.1,https://gcc.gnu.org/
libgomp,7.3.0,https://gcc.gnu.org/
jmespath,0.10.0,https://pypi.org/project/jmespath/0.10.0/
libchkuid,1,https://example.com/libchkuid
Openwall crypt_blowfish,4.4.16,https://www.openwall.com/crypt/
Openwall crypt_blowfish,4.4.26,https://www.openwall.com/crypt/
Openwall crypt_blowfish,,https://www.openwall.com/crypt/
pylockfile,0.12.2,https://pypi.org/project/pylockfile/0.12.2/
logutils,0.3.5,https://pypi.org/project/logutils/0.3.5/
pycparser,2.2,https://pypi.org/project/pycparser/2.2/
pycparser,2.21,https://pypi.org/project/pycparser/2.21/
singledispatch,3.4.0.3,https://pypi.org/project/singledispatch/3.4.0.3/
libtdb,1.4.2,https://www.samba.org/tdb/
libtdb,1.4.7,https://www.samba.org/tdb/
iproute-help,5.5.0,https://git.kernel.org/pub/scm/network/iproute2/iproute2.git
Time::HiRes,1.9726,https://metacpan.org/release/Time-HiRes-1.9726
Time::HiRes,1.9764,https://metacpan.org/release/Time-HiRes-1.9764
Security-enhanced Linux,1,https://selinuxproject.org/
Security-enhanced Linux,3.1,https://selinuxproject.org/
libsepol,3.1,https://github.com/SELinuxProject/libsepol
Security-enhanced Linux,3.3,https://selinuxproject.org/
libsepol,3.3,https://github.com/SELinuxProject/libsepol
Security-enhanced Linux,,https://selinuxproject.org/
zlibcontext,1.2.11,https://zlib.net/
Mozilla::CA,20200520-1.ky10/noarch,https://metacpan.org/release/Mozilla-CA
slirp4netns,1.2.3,https://github.com/rootless-containers/slirp4netns/releases/tag/v1.2.3
perl-Params-Check,0.38,https://metacpan.org/release/Params-Check-0.38
NumPy,1.19.5,https://pypi.org/project/numpy/1.19.5/
NumPy,1.8.2,https://pypi.org/project/numpy/1.8.2/
